tmp_lot_id,lot_turns,EUV_3300,EUV_3400,year,jpn_ytd,tmp_lot_id,,,,,,,
AX211005,1,0.57,0,2019-07-01,FY57,AX231343,,,,,,,
AX211004,5,0,0,2019-07-01,FY57,AX231342,,,,,,,
AX215616,1,0,0,2023-11-01,FY61,AX316450,,,,,,,
AX214228,2,0,0,2019-07-01,FY57,AX316448,,,,,,,
AX215614,10,0,0,2023-11-01,FY61,AX316447,,,,,,,
AX215612,7,0,0,2019-07-01,FY57,AX316449,,,,,,,
AX213855,0,4.26,0,2019-07-01,FY57,AX316454,,,,,,,
AX213854,2,0,0,2023-12-01,FY61,AX316452,,,,,,,
AX213851,1,0,0,2023-12-01,FY61,AX316453,,,,,,,
AX214229,5,0,0,2019-07-01,FY57,AX316451,,,,,,,
AX215858,2,1.1,0,2019-07-01,FY57,AX316446,,,,,,,
AX217794,1,0,0,2024-01-01,FY61,AX349275,,,,,,,
AX217795,9,0,0,2019-07-01,FY57,AX349274,,,,,,,
AX215857,5,1.94,0,2019-08-01,FY57,AX349273,,,,,,,
AX215856,2,0,0,2024-01-01,FY61,AX349272,,,,,,,
AX217796,4,0,0,2019-08-01,FY57,AX349270,,,,,,,
AX219558,1,0,0,2024-01-01,FY61,AX349269,,,,,,,
AX219555,6,0.88,0,2019-08-01,FY57,AX349268,,,,,,,
AX219556,4,0,0,2019-08-01,FY57,AX349267,,,,,,,
AX219557,5,0,0,2019-08-01,FY57,AX349266,,,,,,,
AX222282,8,3.13,0,2019-08-01,FY57,AX361061,,,,,,,
AX222283,4,0,0,2019-08-01,FY57,AX422514,,,,,,,
AX222284,9,0,0,2019-08-01,FY57,AX422516,,,,,,,
AX222285,4,0,0,2019-08-01,FY57,AX422517,,,,,,,
AX223749,4,2.05,0,2019-08-01,FY57,AX422518,,,,,,,
AX223748,10,0,0,2019-08-01,FY57,AX422519,,,,,,,
AX223747,2,0,0,2019-08-01,FY57,AX422513,,,,,,,
AX222839,4,0,0,2019-08-01,FY57,AX422515,,,,,,,
AX222838,5,0,0,2019-08-01,FY57,AX422521,,,,,,,
AX226775,4,1.04,0,2019-08-01,FY57,AX422520,,,,,,,
AX226774,40,0,0,2019-08-01,FY57,AX123884,,,,,,,
AX226777,22,0,0,2019-08-01,FY57,AX203599,,,,,,,
AX226780,2,0,0,2019-08-01,FY57,AX907924,,,,,,,
AX226779,1,0,0,2024-02-01,FY61,AX014396,,,,,,,
AX231645,6,0,0,2019-08-01,FY57,AX013924,,,,,,,
AX231646,10,0,0,2019-08-01,FY57,AX015032,,,,,,,
AX229968,8,3.5,0,2019-08-01,FY57,AX100238,,,,,,,
AX229967,9,0,0,2019-08-01,FY57,AX123274,,,,,,,
AX230820,2,0,0,2019-08-01,FY57,AX200961,,,,,,,
AX232881,6,0,0,2019-08-01,FY57,AX211006,,,,,,,
AX230821,4,0,0,2019-08-01,FY57,AX211005,,,,,,,
AX230822,1,0,0,2019-08-01,FY57,AX211004,,,,,,,
AX232880,2,1,0,2019-08-01,FY57,AX215616,,,,,,,
AX302968,1,0,0,2019-08-01,FY57,AX214228,,,,,,,
AX302967,0,0.14,0,2019-08-01,FY57,AX215614,,,,,,,
AX301782,2,0,0,2019-08-01,FY57,AX215612,,,,,,,
AX301781,1,0,0,2019-08-01,FY57,AX213855,,,,,,,
AX301780,1,0,0,2019-08-01,FY57,AX213854,,,,,,,
AX300089,3,0,0,2019-08-01,FY57,AX213851,,,,,,,
AX300088,15,0,0,2019-08-01,FY57,AX214229,,,,,,,
AX306572,1,0,0,2019-08-01,FY57,AX215858,,,,,,,
AX306576,2,5.47,0,2019-08-01,FY57,AX217794,,,,,,,
AX309801,3,0,0,2019-08-01,FY57,AX217795,,,,,,,
AX309802,0,1.7,0,2019-08-01,FY57,AX215857,,,,,,,
AX309800,15,2.2,0,2019-09-01,FY57,AX215856,,,,,,,
AX309799,5,0,0,2019-09-01,FY57,AX217796,,,,,,,
AX313821,1,0,0,2024-03-01,FY61,AX219558,,,,,,,
AX322471,4,0,0,2019-09-01,FY57,AX219555,,,,,,,
AX323328,10,2.88,0,2019-09-01,FY57,AX219556,,,,,,,
AX323332,5,2.52,0,2019-09-01,FY57,AX219557,,,,,,,
AX323334,6,2.85,0,2019-09-01,FY57,AX222282,,,,,,,
AX323335,7,2.33,0,2019-09-01,FY57,AX222283,,,,,,,
AX321915,4,0,0,2019-09-01,FY57,AX222284,,,,,,,
AX321917,8,0,0,2019-09-01,FY57,AX222285,,,,,,,
AX321919,3,3.34,0,2019-09-01,FY57,AX223749,,,,,,,
AX328262,7,2.74,0,2019-09-01,FY57,AX223748,,,,,,,
AX328265,2,0,0,2019-09-01,FY57,AX223747,,,,,,,
AX328261,27,0,0,2019-09-01,FY57,AX222839,,,,,,,
AX323331,10,0.19,0,2019-09-01,FY57,AX222838,,,,,,,
AX323333,5,0,0,2019-09-01,FY57,AX226775,,,,,,,
AX340402,4,0,0,2019-09-01,FY57,AX226774,,,,,,,
AX337846,10,2.07,0,2019-09-01,FY57,AX226777,,,,,,,
AX340404,7,3.48,0,2019-09-01,FY57,AX226780,,,,,,,
AX340403,20,0,0,2019-09-01,FY57,AX226779,,,,,,,
AX333166,5,0.53,0,2019-09-01,FY57,AX231645,,,,,,,
AX333165,12,5.41,0,2019-09-01,FY57,AX231646,,,,,,,
AX333163,2,0,0,2019-09-01,FY57,AX229968,,,,,,,
AX345414,7,2.7,0,2019-09-01,FY57,AX229967,,,,,,,
AX344639,2,0,0,2019-09-01,FY57,AX230820,,,,,,,
AX344638,1,0.93,0,2019-09-01,FY57,AX232881,,,,,,,
AX344637,1,0,0,2019-09-01,FY57,AX230821,,,,,,,
AX344636,12,5.39,0,2019-09-01,FY57,AX230822,,,,,,,
AX344635,3,0,0,2019-09-01,FY57,AX232880,,,,,,,
AX344634,0,0,0.06,2019-09-01,FY57,AX302968,,,,,,,
AX345415,1,2.15,0,2019-09-01,FY57,AX302967,,,,,,,
AX347504,0,5.43,0,2019-09-01,FY57,AX301782,,,,,,,
AX347503,8,4.05,0,2019-09-01,FY57,AX301781,,,,,,,
AX357820,1,0,0,2019-09-01,FY57,AX301780,,,,,,,
AX355452,7,0,0,2019-09-01,FY57,AX300089,,,,,,,
AX357821,3,0,0,2019-09-01,FY57,AX300088,,,,,,,
AX361759,20,4.85,0,2019-09-01,FY57,AX306572,,,,,,,
AX364733,4,0,0,2019-09-01,FY57,AX306576,,,,,,,
AX419989,0,1.95,0,2019-09-01,FY57,AX309801,,,,,,,
AX415829,7,0,0,2019-10-01,FY57,AX309802,,,,,,,
AX415830,7,0,0,2019-10-01,FY57,AX309800,,,,,,,
AX438610,2,0,0,2019-10-01,FY57,AX309799,,,,,,,
AX007705,1,0,0,2019-10-01,FY57,AX313821,,,,,,,
AX218736,2,0,0,2019-10-01,FY57,AX323328,,,,,,,
AX218737,2,0,0,2019-10-01,FY57,AX323332,,,,,,,
AX335958,7,0,0,2019-10-01,FY57,AX323334,,,,,,,
AX335957,1,0,0,2019-10-01,FY57,AX323335,,,,,,,
AX330651,7,0,0,2019-10-01,FY57,AX321915,,,,,,,
AX359514,1,0,0,2019-10-01,FY57,AX321917,,,,,,,
AX811657,5,0,0,2024-03-01,FY61,AX321919,,,,,,,
AX811659,3,0.1,0,2019-10-01,FY57,AX328262,,,,,,,
AX811666,3,0,0,2019-10-01,FY57,AX328265,,,,,,,
AX903085,4,0,0,2019-10-01,FY57,AX328261,,,,,,,
AX903084,11,0,0,2019-10-01,FY57,AX323331,,,,,,,
AX906053,1,0.12,0,2019-10-01,FY57,AX323333,,,,,,,
AX906795,5,0,0,2019-10-01,FY57,AX340402,,,,,,,
AX906052,2,0,0,2019-10-01,FY57,AX337846,,,,,,,
AX908076,5,0,0,2019-10-01,FY57,AX340404,,,,,,,
AX908077,0,0.17,0,2019-10-01,FY57,AX340403,,,,,,,
AX912831,5,0.35,0,2019-10-01,FY57,AX333166,,,,,,,
AX912743,12,0,0,2019-10-01,FY57,AX333165,,,,,,,
AX002191,10,0,0,2019-10-01,FY57,AX333163,,,,,,,
AX001637,1,0,0,2024-03-01,FY61,AX345414,,,,,,,
AX001636,10.36,0,0,2024-04-01,FY62,AX344639,,,,,,,
AX002192,6,0,0,2019-10-01,FY57,AX344638,,,,,,,
AX002193,8,0,0,2019-10-01,FY57,AX344637,,,,,,,
AX002194,0,3.11,0,2019-11-01,FY57,AX344636,,,,,,,
AX003133,7,0,0,2019-11-01,FY57,AX344635,,,,,,,
